,,,,,,,,,,,,,,"Daily Log Detailed List Report","2/ 7/2026  Saturday","Log #:","DL20260006088","Department:","Surveillance","High Priority","Property:","CNS Halifax","Owner:","pdellapinna",,"Location:","Parking Lot","Created By:","pdellapinna","Sublocation:",,,,"Occurred:",07-Feb-2026   6:32 pm,"End Time:",07-Feb-2026  18:37,"Camera/Monitor:","701-726","Status:","Open","Duration:","0 Days 0 Hours 5 Minutes","Topic:","Parkade Scan","Details:","Parkade Scan @ 18:32hrs.","Daily total:","61","Grand total:","118","Printed:  2/ 8/2026 	13:54:19	","Page 1 / 1 "
,,,,,,,,,,,,,,"Daily Log Detailed List Report","2/ 7/2026  Saturday","Log #:","DL20260006092","Department:","Surveillance","High Priority","Property:","CNS Halifax","Owner:","pdellapinna",,"Location:","Gaming Floor","Created By:","pdellapinna","Sublocation:",,,,"Occurred:",07-Feb-2026   6:38 pm,"End Time:",07-Feb-2026  18:56,"Camera/Monitor:","MS1.1","Status:","Open","Duration:","0 Days 0 Hours 18 Minutes","Topic:","Pit Scan","Details:","ID shots @ 18:38hrs.","Daily total:","61","Grand total:","118","Printed:  2/ 8/2026 	13:54:19	","Page 1 / 1 "
,,,,,,,,,,,,,,"Daily Log Detailed List Report","2/ 7/2026  Saturday","Log #:","DL20260006093","Department:","Surveillance",,"Property:","CNS Halifax","Owner:","sim.kaur",,"Location:","Surveillance","Created By:","sim.kaur","Sublocation:",,,,"Occurred:",07-Feb-2026   6:57 pm,"End Time:",07-Feb-2026  19:04,"Camera/Monitor:","MON 1-4","Status:","Open","Duration:","0 Days 0 Hours 7 Minutes","Topic:","Camera check","Details:","OK","Daily total:","61","Grand total:","118","Printed:  2/ 8/2026 	13:54:19	","Page 1 / 1 "
,,,,,,,,,,,,,,"Daily Log Detailed List Report","2/ 7/2026  Saturday","Log #:","DL20260006094","Department:","Surveillance",,"Property:","CNS Halifax","Owner:","sim.kaur",,"Location:","Pit 3","Created By:","sim.kaur","Sublocation:","RB 1",,,"Occurred:",07-Feb-2026   7:04 pm,"End Time:",07-Feb-2026  19:06,"Camera/Monitor:","MON 1-4","Status:","Open","Duration:","0 Days 0 Hours 2 Minutes","Topic:","Table Fill","Details:","Table Fill RB1 $15100 SO Kulwinder Ghotra","Daily total:","61","Grand total:","118","Printed:  2/ 8/2026 	13:54:19	","Page 1 / 1 "
,,,,,,,,,,,,,,"Daily Log Detailed List Report","2/ 7/2026  Saturday","Log #:","DL20260006095","Department:","Surveillance",,"Property:","CNS Halifax","Owner:","jason.macdonald",,"Location:","Pit 3","Created By:","jason.macdonald","Sublocation:","RB 2",,,"Occurred:",07-Feb-2026   7:23 pm,"End Time:",,"Camera/Monitor:","45","Status:","Open","Duration:",,"Topic:","Card Preparation","Details:","Shuffling and sorting for RB1","Daily total:","61","Grand total:","118","Printed:  2/ 8/2026 	13:54:19	","Page 1 / 1 "
,,,,,,,,,,,,,,"Daily Log Detailed List Report","2/ 7/2026  Saturday","Log #:","DL20260006096","Department:","Surveillance",,"Property:","CNS Halifax","Owner:","jason.macdonald",,"Location:","Slot Zone","Created By:","jason.macdonald","Sublocation:","Zone 3",,,"Occurred:",07-Feb-2026   7:33 pm,"End Time:",07-Feb-2026  19:36,"Camera/Monitor:","MS1","Status:","Open","Duration:","0 Days 0 Hours 3 Minutes","Topic:","Jackpot Dispute","Details:","3.09.01, $68.70 with SSS Kaitlyn and SO Trent","Daily total:","61","Grand total:","118","Printed:  2/ 8/2026 	13:54:19	","Page 1 / 1 "
,,,,,,,,,,,,,,"Daily Log Detailed List Report","2/ 7/2026  Saturday","Log #:","DL20260006097","Department:","Surveillance","High Priority","Property:","CNS Halifax","Owner:","jason.macdonald",,"Location:","Slot Zone","Created By:","jason.macdonald","Sublocation:","Zone 6",,,"Occurred:",07-Feb-2026   7:39 pm,"End Time:",07-Feb-2026  19:41,"Camera/Monitor:","MS1","Status:","Open","Duration:","0 Days 0 Hours 2 Minutes","Topic:","Requested Observation","Details:","Requested Observation: SSS Craig Kelly spinning off a jackpot at 6.02.10","Daily total:","61","Grand total:","118","Printed:  2/ 8/2026 	13:54:19	","Page 1 / 1 "
,,,,,,,,,,,,,,"Daily Log Detailed List Report","2/ 7/2026  Saturday","Log #:","DL20260006098","Department:","Surveillance",,"Property:","CNS Halifax","Owner:","sim.kaur",,"Location:","Pit 1","Created By:","sim.kaur","Sublocation:","LIR1",,,"Occurred:",07-Feb-2026   7:39 pm,"End Time:",07-Feb-2026  19:41,"Camera/Monitor:","MON 1-4","Status:","Open","Duration:","0 Days 0 Hours 2 Minutes","Topic:","Table Fill","Details:","Table Fill $12500 LIR1 SO Santos O","Daily total:","61","Grand total:","118","Printed:  2/ 8/2026 	13:54:19	","Page 1 / 1 "
,,,,,,,,,,,,,,"Daily Log Detailed List Report","2/ 7/2026  Saturday","Log #:","DL20260006099","Department:","Surveillance","High Priority","Property:","CNS Halifax","Owner:","sim.kaur",,"Location:","Pit 3","Created By:","sim.kaur","Sublocation:","RB 1",,,"Occurred:",07-Feb-2026   7:42 pm,"End Time:",07-Feb-2026  20:05,"Camera/Monitor:","42","Status:","Open","Duration:","0 Days 0 Hours 23 Minutes","Topic:","Observation","Details:","Observation: Dealers (Tim Moffat/ Elizabeth Briggs) on RB1.","Daily total:","61","Grand total:","118","Printed:  2/ 8/2026 	13:54:19	","Page 1 / 1 "
,,,,,,,,,,,,,,"Daily Log Detailed List Report","2/ 7/2026  Saturday","Log #:","DL20260006100","Department:","Surveillance",,"Property:","CNS Halifax","Owner:","jason.macdonald",,"Location:","Poker Room","Created By:","jason.macdonald","Sublocation:","Poker 4",,,"Occurred:",07-Feb-2026   7:43 pm,"End Time:",07-Feb-2026  19:46,"Camera/Monitor:","MS1","Status:","Open","Duration:","0 Days 0 Hours 3 Minutes","Topic:","Table Fill","Details:","PK4, $6100 by SO Santos Onwuzrike","Daily total:","61","Grand total:","118","Printed:  2/ 8/2026 	13:54:19	","Page 1 / 1 "
